"","x_coord","y_coord","complete_prob_17","complete_prob_18","complete_prob_19"
"74",6.5,-10,0.854024149131492,0.921558674780538,0.923999405016446
"75",7,-10,0.858999611697063,0.924535870650549,0.925695765973147
"76",7.5,-10,0.863893859532352,0.927343980196813,0.927303968980362
"77",8,-10,0.868639042816936,0.929944486633491,0.928793750883715
"78",8.5,-10,0.87316731173039,0.932298873174743,0.930134848528832
"79",9,-10,0.877410816452293,0.934368623034731,0.931296998761338
"80",9.5,-10,0.881301707162221,0.936115219427616,0.932249938426857
"81",10,-10,0.88477213403975,0.937500145567559,0.932963404371014
"82",10.5,-10,0.887754247264459,0.93848488466872,0.933407133439435
"83",11,-10,0.890180197015923,0.93903091994526,0.933550862477745
"84",11.5,-10,0.89198213347372,0.93909973461134,0.933364328331567
"85",12,-10,0.893092206817426,0.938652811881122,0.932817267846528
"86",12.5,-10,0.893442567226619,0.937651634968766,0.931879417868252
"87",13,-10,0.892965364880875,0.936057687088433,0.930520515242364
"88",13.5,-10,0.891592749959771,0.933832451454283,0.928710296814489
"89",14,-10,0.889256872642885,0.930937411280479,0.926418499430252
"90",14.5,-10,0.885895885846297,0.927337705824646,0.923616618277822
"91",15,-10,0.881509912427677,0.923036217930152,0.920302458559724
"92",15.5,-10,0.876135634185097,0.918058097130741,0.916494078979635
"93",16,-10,0.869810205435248,0.912428780753667,0.912210059231614
"94",16.5,-10,0.862570780494819,0.90617370612618,0.907468979009722
"95",17,-10,0.854454513680502,0.899318310575534,0.902289418008018
"96",17.5,-10,0.845498559308985,0.891888031428982,0.896689955920562
"97",18,-10,0.835740071696961,0.883908306013776,0.890689172441413
"98",18.5,-10,0.825216205161118,0.875404571657167,0.884305647264633
"99",19,-10,0.813964114018147,0.86640226568641,0.877557960084279
"100",19.5,-10,0.802020952584738,0.856926825428756,0.870464690594413
"101",20,-10,0.789423875177581,0.847003688211458,0.863044418489094
"102",20.5,-10,0.776210036113367,0.836658291361768,0.855315723462382
"103",21,-10,0.762416589708786,0.82591607220694,0.847297185208337
"104",21.5,-10,0.748080690280528,0.814802468074224,0.839007383421019
"105",22,-10,0.733239492145282,0.803342916290875,0.830464897794486
"106",22.5,-10,0.71793014961974,0.791562854184143,0.8216883080228
"107",23,-10,0.702189817020592,0.779487719081283,0.81269619380002
"108",23.5,-10,0.686055648664528,0.767142948309547,0.803507134820206
"109",24,-10,0.669564798868237,0.754553979196186,0.794139710777418
"110",24.5,-10,0.652754421948411,0.741746249068453,0.784612501365715
"111",25,-10,0.635661672221739,0.728745195253602,0.774944086279157
"112",25.5,-10,0.618323704004912,0.715576255078884,0.765153045211805
"113",26,-10,0.600777671614619,0.702264865871552,0.755257957857718
"114",26.5,-10,0.583060729367552,0.688836464958858,0.745277403910955
"115",27,-10,0.5652100315804,0.675316489668055,0.735229963065577
"116",27.5,-10,0.547262732569853,0.661730377326396,0.725134215015643
"117",28,-10,0.529255986652602,0.648103565261133,0.715008739455214
"118",28.5,-10,0.511226551832625,0.634461219468028,0.704871917894946
"119",29,-10,0.493195779457248,0.620817957931141,0.694734427465691
"120",29.5,-10,0.475165007081871,0.607174696394255,0.684596937036437
"121",30,-10,0.457134234706493,0.593531434857369,0.674459446607182
"122",-30,-9.5,0.742179268403764,0.759606956831478,0.63116835893456
"123",-29.5,-9.5,0.751968335186693,0.765259572939281,0.642411010063019
"124",-29,-9.5,0.761757401969622,0.770912189047084,0.653653661191478
"125",-28.5,-9.5,0.77154646875255,0.776564805154887,0.664896312319937
"126",-28,-9.5,0.78133452903685,0.782216995406313,0.676138752034382
"127",-27.5,-9.5,0.791105516122174,0.787861961871791,0.68737255020102
"128",-27,-9.5,0.800831769935073,0.793488001387187,0.69857860027837
"129",-26.5,-9.5,0.810485332180281,0.799083284608701,0.709737082202654
"130",-26,-9.5,0.820038244562535,0.804635982192532,0.720828175910094
"131",-25.5,-9.5,0.829462548786566,0.810134264794877,0.731832061336914
"132",-25,-9.5,0.838730286557111,0.815566303071937,0.742728918419336
"133",-24.5,-9.5,0.847813499578903,0.820920267679911,0.753498927093582
"134",-24,-9.5,0.856684229556678,0.826184329274997,0.764122267295875
"135",-23.5,-9.5,0.865314518195169,0.831346658513394,0.774579118962437
"136",-23,-9.5,0.873676407199111,0.836395426051302,0.784849662029491
"137",-22.5,-9.5,0.881741938273239,0.841318802544919,0.79491407643326
"138",-22,-9.5,0.889483153122287,0.846104958650444,0.804752542109966
"139",-21.5,-9.5,0.89687209345099,0.850742065024077,0.814345238995832
"140",-21,-9.5,0.903880800964081,0.855218292322016,0.823672347027079
"141",-20.5,-9.5,0.910481317366296,0.85952181120046,0.832714046139932
"142",-20,-9.5,0.91664568436237,0.863640792315609,0.841450516270612
"143",-19.5,-9.5,0.922345943657035,0.86756340632366,0.849861937355342
"144",-19,-9.5,0.927554136955029,0.871277823880815,0.857928489330344
"145",-18.5,-9.5,0.932242305961083,0.87477221564327,0.865630352131841
"146",-18,-9.5,0.936382492379933,0.878034752267226,0.872947705696056
"147",-17.5,-9.5,0.939946737916314,0.881053604408881,0.87986072995921
"148",-17,-9.5,0.942907084274961,0.883816942724435,0.886349604857528
"149",-16.5,-9.5,0.945235573160606,0.886312937870085,0.89239451032723
"150",-16,-9.5,0.946904246277986,0.888529760502032,0.897975626304541
"151",-15.5,-9.5,0.947885145331834,0.890455581276475,0.903073132725681
"152",-15,-9.5,0.948150312026885,0.892078570849611,0.907667209526875
"153",-14.5,-9.5,0.947671788067874,0.893386899877641,0.911738036644343
"154",-14,-9.5,0.946422002546262,0.894368904515609,0.91526579401431
"155",-13.5,-9.5,0.944403356808175,0.895025725625581,0.91823924572267
"156",-13,-9.5,0.941669057251795,0.895380208936811,0.920681492454003
"157",-12.5,-9.5,0.938277231521522,0.895457302626859,0.922624219042564
"158",-12,-9.5,0.934286007261756,0.895281954873282,0.924099110322606
"159",-11.5,-9.5,0.929753512116899,0.894879113853639,0.925137851128383
